CMDLINE /Users/zouyingjie/soft/python/500Lines/vir_500lines/bin/python3.6 cp02/demo01.py
MEM 0.273438 1504534546.3301
MEM 14.480469 1504534546.4352
MEM 20.921875 1504534546.5382
MEM 25.480469 1504534546.6386
MEM 30.578125 1504534546.7430
MEM 33.914062 1504534546.8439
MEM 37.062500 1504534546.9444
MEM 37.218750 1504534547.0488
MEM 37.308594 1504534547.1529
MEM 37.464844 1504534547.2576
MEM 37.593750 1504534547.3579
MEM 37.671875 1504534547.4588
MEM 37.839844 1504534547.5639
MEM 37.972656 1504534547.6663
MEM 38.175781 1504534547.7689
MEM 38.253906 1504534547.8730
